URL;Label
arvindudyog.com/bright/bright/drake/bright/6909c5e68658ace3cd19c26f74dfb3db/;bad
video.xnxx.com/video1113326/torrey_pines_-_johnny_love_-_pt2;good
keanees.com/rss/feed/stream/;bad
www.erikveen.dds.nl/ruby.html;good
sumeyemozlen.blogcu.com/;bad
91.239.24.46:6892;bad
imgoingmowing.com/;good
bfiproductsinc.com/wp-content/plugins/aa.php?g=7tsubm8q4lsd3i;bad
wordiq.com/definition/Walter_Ong;good
pravo.org.ru/write/dropbox/dropbox/activity.vip.126.com/vip.126.com.php?errorType=498&error&email=;bad
jointventuremagic.com/;good
bplenterprises.com/cgi/es/log;bad
yfihtxiepyigueojb.work/upload/_dispatch.php;bad
breitbart.tv/occupyoakland-vandalizes-bank-of-america/;good
www.keiseruniversity.edu/culinary_arts_AS.php;good
newyorker.com/reporting/2010/11/15/101115fa_fact_parker;good
wn.com/1910s;good
en.wikipedia.org/wiki/Tilley_lamp;good
4bcaa862.tinylinks.co/;bad
cornmasaflour.com/Zy1ebvhpF9/pe4jLu5UT3HIW0y.php?id=;bad
baseballprospectus.com/article.php?articleid=15061;good
ef.medlu.com/index.php?xXmNd7GYKhvIDoQ=l3SMfPrfJxzFGMSUb-nJDa9BNUXCRQLPh4SGhKrXCJ-ofSih17OIFxzsmTu2KTKvgJQyfu0SaGyj1BKeO10hjoUeWF8Z5e3x1RSL2x3fipSA9weOYQhE_JWQHbQ73lz8yrAcd88vlR-L6zdWxOkbUl4VtRgY36TIHLOL-AFiXwE4UgfbbNlwsxaBWiTiJGQ23OWwGTF2m-bN8_w5;bad
elenamitchellsggs.com/aol/index.htm;bad
cnajs.com/pic/Agatha%20Christie/dropbox/dropbox/;bad
freepeople.by/red.php;bad
facebook.com/ArtsKC;good
living4u.80port.net/zb/doc/file.index.htm/remax-securelogin_files/remax0-0secure0login_files/remax0-0secure0login_files/remax-securelogin_files/remax-securelogin_files/remax0-0secure0login_files/remax0-0secure0login_files/remax%20-%20secure%20login/;bad
aol.sportingnews.com/soccer/story/2011-08-19/mls-winning-fans-respect-with-champions-league-victories;good
usgwarchives.org/ga/carroll/vitals.html;good
elite24basketball.com/;good
tools.ietf.org/html/rfc2771;good
rockingtheblues.com/;good
genealogybiography.com/1914/biographies018.htm;good
kesslerhomes.com/apartments.php;good
accidentesylaboral.com.ar/googledrives;bad
freebase.com/view/en/marcelo_zarvos;good
immo.3x.ro/oirjm2;bad
www.tuhu.cc/js/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index;bad
paypaladd.wapka.me/site_0.xhtml/;bad
